year/week,FALCON-VE
1/2/2005,21
1/9/2005,23
1/16/2005,39
1/23/2005,41
1/30/2005,64
2/6/2005,37
2/13/2005,61
2/20/2005,139
2/27/2005,160
3/6/2005,120
3/13/2005,171
3/20/2005,114
3/27/2005,166
4/3/2005,174
4/10/2005,102
4/17/2005,81
4/24/2005,62
5/1/2005,63
5/8/2005,62
5/15/2005,43
5/22/2005,52
5/29/2005,41
6/5/2005,44
6/12/2005,37
6/19/2005,23
6/26/2005,50
7/3/2005,35
7/10/2005,27
7/17/2005,19
7/24/2005,19
7/31/2005,17
8/7/2005,22
8/14/2005,14
8/21/2005,19
8/28/2005,22
9/4/2005,12
9/11/2005,20
9/18/2005,16
9/25/2005,23
10/2/2005,22
10/9/2005,35
10/16/2005,21
10/23/2005,32
10/30/2005,40
11/6/2005,52
11/13/2005,60
11/20/2005,86
11/27/2005,236
12/4/2005,113
12/11/2005,89
12/18/2005,85
12/25/2005,126
1/1/2006,146
1/8/2006,253
1/15/2006,228
1/22/2006,167
1/29/2006,177
2/5/2006,181
2/12/2006,137
2/19/2006,92
2/26/2006,64
3/5/2006,45
3/12/2006,45
3/19/2006,34
3/26/2006,24
4/2/2006,10
4/9/2006,20
4/16/2006,21
4/23/2006,24
4/30/2006,22
5/7/2006,20
5/14/2006,41
5/21/2006,45
5/28/2006,46
6/4/2006,42
6/11/2006,42
6/18/2006,16
6/25/2006,14
7/2/2006,19
7/9/2006,12
7/16/2006,13
7/23/2006,11
7/30/2006,6
8/6/2006,6
8/13/2006,5
8/20/2006,8
8/27/2006,1
9/3/2006,1
9/10/2006,4
9/17/2006,10
9/24/2006,6
10/1/2006,2
10/8/2006,4
10/15/2006,4
10/22/2006,3
10/29/2006,0
11/5/2006,4
11/12/2006,6
11/19/2006,14
11/26/2006,10
12/3/2006,5
12/10/2006,6
12/17/2006,13
12/24/2006,7
12/31/2006,9
1/7/2007,15
1/14/2007,16
1/21/2007,22
1/28/2007,13
2/4/2007,20
2/11/2007,19
2/18/2007,24
2/25/2007,12
3/4/2007,25
3/11/2007,14
3/18/2007,7
3/25/2007,19
4/1/2007,8
4/8/2007,21
4/15/2007,15
4/22/2007,11
4/29/2007,9
5/6/2007,8
5/13/2007,11
5/20/2007,14
5/27/2007,8
6/3/2007,7
6/10/2007,2
6/17/2007,7
6/24/2007,7
7/1/2007,8
7/8/2007,7
7/15/2007,8
7/22/2007,14
7/29/2007,18
8/5/2007,17
8/12/2007,16
8/19/2007,19
8/26/2007,14
9/2/2007,19
9/9/2007,15
9/16/2007,23
9/23/2007,26
9/30/2007,44
10/7/2007,52
10/14/2007,104
10/21/2007,98
10/28/2007,90
11/4/2007,118
11/11/2007,146
11/18/2007,202
11/25/2007,245
12/2/2007,239
12/9/2007,206
12/16/2007,166
12/23/2007,125
12/30/2007,106
1/6/2008,144
1/13/2008,149
1/20/2008,196
1/27/2008,140
2/3/2008,97
2/10/2008,146
2/17/2008,96
2/24/2008,93
3/2/2008,84
3/9/2008,42
3/16/2008,20
3/23/2008,17
3/30/2008,14
4/6/2008,14
4/13/2008,8
4/20/2008,9
4/27/2008,5
5/4/2008,9
5/11/2008,10
5/18/2008,7
5/25/2008,5
6/1/2008,11
6/8/2008,17
6/15/2008,9
6/22/2008,8
6/29/2008,9
7/6/2008,12
7/13/2008,13
7/20/2008,6
7/27/2008,9
8/3/2008,5
8/10/2008,8
8/17/2008,10
8/24/2008,8
8/31/2008,5
9/7/2008,11
9/14/2008,3
9/21/2008,12
9/28/2008,13
10/5/2008,16
10/12/2008,14
10/19/2008,18
10/26/2008,9
11/2/2008,23
11/9/2008,22
11/16/2008,24
11/23/2008,20
11/30/2008,17
12/7/2008,31
12/14/2008,26
12/21/2008,17
12/28/2008,38
1/4/2009,51
1/11/2009,43
1/18/2009,56
1/25/2009,72
2/1/2009,97
2/8/2009,97
2/15/2009,87
2/22/2009,82
3/1/2009,89
3/8/2009,91
3/15/2009,83
3/22/2009,86
3/29/2009,82
4/5/2009,70
4/12/2009,78
4/19/2009,62
4/26/2009,45
5/3/2009,41
5/10/2009,28
5/17/2009,30
5/24/2009,37
5/31/2009,21
6/7/2009,24
6/14/2009,6
6/21/2009,8
6/28/2009,7
7/5/2009,3
7/12/2009,4
7/19/2009,12
7/26/2009,6
8/2/2009,17
8/9/2009,7
8/16/2009,7
8/23/2009,9
8/30/2009,12
9/6/2009,10
9/13/2009,30
9/20/2009,21
9/27/2009,14
10/4/2009,22
10/11/2009,24
10/18/2009,19
10/25/2009,42
11/1/2009,31
11/8/2009,40
11/15/2009,49
11/22/2009,53
11/29/2009,61
12/6/2009,46
12/13/2009,23
12/20/2009,16
12/27/2009,20
1/3/2010,16
1/10/2010,25
1/17/2010,37
1/24/2010,31
1/31/2010,13
2/7/2010,16
2/14/2010,16
2/21/2010,11
2/28/2010,12
3/7/2010,22
3/14/2010,15
3/21/2010,14
3/28/2010,19
4/4/2010,15
4/11/2010,15
4/18/2010,22
4/25/2010,16
5/2/2010,30
5/9/2010,42
5/16/2010,52
5/23/2010,70
5/30/2010,86
6/6/2010,84
6/13/2010,101
6/20/2010,68
6/27/2010,104
7/4/2010,77
7/11/2010,81
7/18/2010,41
7/25/2010,68
8/1/2010,71
8/8/2010,79
8/15/2010,77
8/22/2010,78
8/29/2010,85
9/5/2010,117
9/12/2010,130
9/19/2010,123
9/26/2010,134
10/3/2010,167
10/10/2010,154
10/17/2010,167
10/24/2010,268
10/31/2010,417
11/7/2010,530
11/14/2010,336
11/21/2010,396
11/28/2010,276
12/5/2010,200
12/12/2010,211
12/19/2010,165
12/26/2010,153
1/2/2011,231
1/9/2011,206
1/16/2011,236
1/23/2011,153
1/30/2011,167
2/6/2011,122
2/13/2011,102
2/20/2011,53
2/27/2011,61
3/6/2011,48
3/13/2011,38
3/20/2011,47
3/27/2011,41
4/3/2011,45
4/10/2011,21
4/17/2011,5
4/24/2011,7
5/1/2011,15
5/8/2011,16
5/15/2011,10
5/22/2011,9
5/29/2011,12
6/5/2011,16
6/12/2011,24
6/19/2011,19
6/26/2011,12
7/3/2011,7
7/10/2011,6
7/17/2011,8
7/24/2011,8
7/31/2011,11
8/7/2011,5
8/14/2011,2
8/21/2011,6
8/28/2011,9
9/4/2011,10
9/11/2011,7
9/18/2011,14
9/25/2011,6
10/2/2011,13
10/9/2011,8
10/16/2011,9
10/23/2011,11
10/30/2011,17
11/6/2011,12
11/13/2011,30
11/20/2011,40
11/27/2011,35
12/4/2011,34
12/11/2011,27
12/18/2011,11
12/25/2011,9
1/1/2012,26
1/8/2012,26
1/15/2012,23
1/22/2012,13
1/29/2012,10
2/5/2012,12
2/12/2012,8
2/19/2012,11
2/26/2012,15
3/4/2012,8
3/11/2012,8
3/18/2012,10
3/25/2012,1
4/1/2012,3
4/8/2012,14
4/15/2012,4
4/22/2012,5
4/29/2012,5
5/6/2012,6
5/13/2012,11
5/20/2012,6
5/27/2012,10
6/3/2012,5
6/10/2012,8
6/17/2012,7
6/24/2012,4
7/1/2012,7
7/8/2012,6
7/15/2012,9
7/22/2012,3
7/29/2012,4
8/5/2012,2
8/12/2012,9
8/19/2012,11
8/26/2012,13
9/2/2012,9
9/9/2012,13
9/16/2012,13
9/23/2012,11
9/30/2012,8
10/7/2012,7
10/14/2012,17
10/21/2012,15
10/28/2012,41
11/4/2012,36
11/11/2012,28
11/18/2012,35
11/25/2012,27
12/2/2012,49
12/9/2012,24
12/16/2012,26
12/23/2012,23
12/30/2012,7
1/6/2013,32
1/13/2013,29
1/20/2013,43
1/27/2013,31
2/3/2013,34
2/10/2013,14
2/17/2013,13
2/24/2013,13
3/3/2013,27
3/10/2013,6
3/17/2013,22
3/24/2013,11
3/31/2013,11
4/7/2013,7
4/14/2013,4
4/21/2013,17
4/28/2013,8
5/5/2013,13
5/12/2013,17
5/19/2013,20
5/26/2013,37
6/2/2013,16
6/9/2013,21
6/16/2013,26
6/23/2013,13
6/30/2013,11
7/7/2013,25
7/14/2013,3
7/21/2013,4
7/28/2013,8
8/4/2013,13
8/11/2013,12
8/18/2013,13
8/25/2013,16
9/1/2013,14
9/8/2013,12
9/15/2013,29
9/22/2013,33
9/29/2013,19
10/6/2013,24
10/13/2013,45
10/20/2013,53
10/27/2013,65
11/3/2013,39
11/10/2013,30
11/17/2013,49
11/24/2013,50
12/1/2013,58
12/8/2013,56
12/15/2013,46
12/22/2013,31
12/29/2013,37
1/5/2014,115
1/12/2014,110
1/19/2014,104
1/26/2014,115
2/2/2014,80
2/9/2014,91
2/16/2014,64
2/23/2014,48
3/2/2014,40
3/9/2014,49
3/16/2014,29
3/23/2014,27
3/30/2014,20
4/6/2014,15
4/13/2014,11
4/20/2014,13
4/27/2014,7
5/4/2014,7
5/11/2014,9
5/18/2014,8
5/25/2014,13
6/1/2014,7
6/8/2014,14
6/15/2014,15
6/22/2014,9
6/29/2014,9
7/6/2014,5
7/13/2014,19
7/20/2014,5
7/27/2014,11
8/3/2014,19
8/10/2014,9
8/17/2014,12
8/24/2014,32
8/31/2014,38
9/7/2014,93
9/14/2014,136
9/21/2014,283
9/28/2014,273
10/5/2014,287
10/12/2014,226
10/19/2014,105
10/26/2014,69
11/2/2014,45
11/9/2014,51
11/16/2014,46
11/23/2014,24
11/30/2014,20
12/7/2014,9
12/14/2014,8
12/21/2014,0
12/28/2014,3
